case_id,pool,h_ch,n_fin,h_fin,d_in,u_in,q_w,geometry_family,solver_status,combined_position,archive_path,archive_sha256,archive_size_bytes,flow_converged_reported,raw_enthalpy_passed,raw_enthalpy_balance_ratio,raw_temperature_extrema_passed,raw_temperature_max_T_K,wall_time_sec
id_train_0399,id_train,7.353513,8,3.848007,5.670918,1.162922,17.335779,uniform_fins,pending,35,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0399.tar.gz,d1dd6f92bb171957e1360608b693a7c5af002b8a37f02e1b715c0a4cfea7a1ea,1454234,true,true,0.9605667354089708,true,328.57462,26.101
id_train_0115,id_train,6.747272,4,2.484128,5.263559,1.122635,19.932249,uniform_fins,pending,36,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0115.tar.gz,216ad3eb7784007263f70d67956061fdf9d621c1a21add0a8ba80771ed625d79,844721,true,true,0.9971616560098633,true,320.17177,19.505
id_train_0251,id_train,7.977507,5,3.472116,3.038395,0.87649,5.316779,uniform_fins,pending,37,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0251.tar.gz,ce9779892243ec6764e7521cccd5bcd14a7a3a0ac0bb221a403bf2265fb50cca,1154987,true,true,0.9979371405154064,true,303.50048,33.047
id_train_0267,id_train,4.772447,6,2.594192,5.007982,1.182047,16.094822,uniform_fins,pending,38,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0267.tar.gz,e3fb363c099ac303e737168200fd8551bc504b4f966012b1b579a159c9765ddf,853943,true,true,0.954885842024177,true,313.08969,28.955
id_train_0243,id_train,4.619705,7,3.3285,5.597369,0.445182,6.699152,uniform_fins,pending,39,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0243.tar.gz,ad000447ee34da0b5fd946556b41c6879da3873dafa25433ea236a99f6c29957,1051398,true,true,0.9678181972967584,true,303.74758,17.750
id_train_0019,id_train,5.462021,8,2.380907,4.139067,0.898047,9.983084,uniform_fins,pending,40,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0019.tar.gz,7a3f98afc67c4bcc9cb1097662998969703d7f0e9c6ab414a86b7aacaa5192b8,1145878,true,true,0.9964574088393117,true,305.77094,25.578
id_train_0181,id_train,9.263783,5,5.26022,4.073279,0.878217,7.210732,uniform_fins,pending,42,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0181.tar.gz,3302775c17deea676efe8667ad493f25c200757e6f08ec244e62a7e75ce90bf0,1435526,true,true,2.2682307265717863,true,318.87182,110.997
id_train_0007,id_train,6.929168,6,4.228095,5.192984,0.833136,12.367973,uniform_fins,pending,43,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0007.tar.gz,bb79f6e4c90ed52ddde10fcbfc9bc076d91901711bd2b9655f81131f0a73fcc0,1320363,true,true,0.943754632571903,true,322.57048,25.608
id_train_0148,id_train,8.371404,7,4.236655,4.785973,1.429122,23.224122,uniform_fins,pending,44,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0148.tar.gz,9471e365a6db616f9dfb3101eb92f2fb62f52dd7e23f0c26a3924bb430730806,1483081,true,true,0.9668627028260225,true,346.63434,46.226
id_train_0089,id_train,4.586098,8,2.480446,3.870537,1.422591,15.120463,uniform_fins,pending,45,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0089.tar.gz,1c095dc3c77414596cf041d67672704dacbf2d24db76f1a722e08a6a07baacf2,936836,true,true,0.9548148717089416,true,310.56485,18.604
id_train_0085,id_train,6.785576,4,2.745452,5.316087,1.083197,20.173406,uniform_fins,pending,46,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0085.tar.gz,fd819a58dbf65fea15673a6140febc00fb6a63028b79c51ae3d5f9a4e1b0f78e,871850,true,true,0.9919794496734082,true,323.58151,19.801
id_train_0226,id_train,8.327618,5,2.900841,5.218053,0.708052,9.158022,uniform_fins,pending,47,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0226.tar.gz,b9e77cb78d7c44bfc22ed57d630551ff92f3692846bcacbae88187b960c7f75b,1089981,true,true,0.9996550791011107,true,308.27827,34.065
id_train_0273,id_train,9.891836,7,4.934888,3.459271,1.263526,16.661649,uniform_fins,pending,49,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0273.tar.gz,6ede8afc35b406a99cd59a3f47976889bdaa2e1f7cb990c793d0654c5c1e7890,1800707,true,true,2.047285260038763,true,349.03746,111.369
id_train_0169,id_train,5.385486,8,2.195218,5.333383,1.257668,19.182881,uniform_fins,pending,50,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0169.tar.gz,7e2e4b8f2486c37edbe371edeea256c9b61c56a42baa77704f9c699dd8a41475,1169364,true,true,0.9871675247546878,true,314.69936,25.746
id_train_0300,id_train,6.558467,4,2.305443,4.365085,1.499488,24.157782,uniform_fins,pending,51,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0300.tar.gz,868e098372cba405cb702959cfe2a684366e3e16ed644fdaf5b86edcbee33167,753298,true,true,0.9981997641949966,true,322.5324,17.951
id_train_0221,id_train,5.799171,5,3.851722,2.662872,1.002973,7.134229,uniform_fins,pending,52,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0221.tar.gz,87cb1a37592aebce4cd6030059658af046bb0b4e472a1659631e74a8de1f02b7,1022757,true,true,0.9526487270719214,true,307.44734,18.841
id_train_0347,id_train,5.332827,6,2.068733,3.473443,1.448307,15.278437,uniform_fins,pending,53,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0347.tar.gz,ed723fb939f291f0aef1bbe914f0e7d94105dfe450502be438cc522f9d856fa7,831097,true,true,0.9983304831844446,true,308.74975,17.202
id_train_0288,id_train,5.501025,7,2.030477,3.494627,1.487416,20.445851,uniform_fins,pending,54,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0288.tar.gz,83b9c12e673f83cf77d3104d0936a4e816de41246bf052dab34279e4f54775fe,918950,true,true,0.9986809317139276,true,312.41167,18.782
id_train_0259,id_train,7.919254,8,5.874138,4.922195,0.988499,14.895632,uniform_fins,pending,55,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0259.tar.gz,a716d017cd17b2d0402e3082cc2978e5395cb18cc0eed5211710b006b3432f67,2096500,true,true,6.08086062309337,true,360.5225,72.690
id_train_0270,id_train,8.658738,4,3.742465,5.310036,0.600869,12.500095,uniform_fins,pending,56,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0270.tar.gz,3017317e17f65b46f79a8402799a1176234fac3a0a6f7a327fa8176f321272d8,1113079,true,true,0.997719781232441,true,319.47627,95.122
id_train_0231,id_train,5.425801,5,3.45643,3.122294,0.635914,5.694961,uniform_fins,pending,57,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0231.tar.gz,4f2340fe6644e55d228c18e2006a01f47c66e38b53f450b78ee874e16d5ed776,988309,true,true,0.9819886873581403,true,303.35346,29.897
id_train_0303,id_train,8.67718,7,3.800281,3.11189,1.143938,14.052953,uniform_fins,pending,59,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0303.tar.gz,8b8c87a256af91822358be97f68d512a304780bf443dff43d62c9585a2c238a5,1514466,true,true,0.9923236362852597,true,321.82781,94.817
id_train_0265,id_train,5.554802,4,3.417455,2.709042,1.482826,16.425349,uniform_fins,pending,61,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0265.tar.gz,6d9f20a99307cd2d49773f9ad184d452df0d1a062d05ae91782bc859f65a2b24,879779,true,true,0.9460518664973275,true,322.52425,36.796
id_train_0271,id_train,8.445413,5,5.476392,4.318798,1.303732,17.047005,uniform_fins,pending,62,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0271.tar.gz,e5e9de66bc95853b7708559d9a9c1a6450f7d5ed6f35ae2567ffed4f12e90552,1407386,true,true,0.9338438119888587,true,326.35769,83.301
id_train_0232,id_train,9.979721,6,4.53457,5.244585,0.953132,15.516835,uniform_fins,pending,63,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0232.tar.gz,a250bc5adadff075c2e1e1ef9b924a48cc011cd5c99f0217f7d3b243b69bfc51,1486750,true,true,1.7879823412684708,true,339.30742,126.542
id_train_0378,id_train,4.624602,7,2.225535,3.931227,1.301223,20.76667,uniform_fins,pending,64,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0378.tar.gz,02d4575d83a6cb7ad93d6e89d3df0f4321394c6cecb51b69b78854cb89ca6bda,800290,true,true,0.9807949442203097,true,311.60681,35.282
id_train_0194,id_train,5.066348,8,2.592513,3.544159,0.556054,6.422859,uniform_fins,pending,65,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0194.tar.gz,3f3633bbf214ec98d40a3053af75be54c799b5becbec5245f71eb85fa62efd9b,1058593,true,true,0.9998587559810879,true,301.75127,22.433
id_train_0035,id_train,5.612528,4,3.467904,5.384386,1.29164,28.653352,uniform_fins,pending,66,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0035.tar.gz,eb3ab6a6349ab28dbf7a0c045b7b4df7c7845798985b8fd7a721fe05052d80bf,874511,true,true,0.927479769222715,true,346.05495,40.167
id_train_0356,id_train,9.60093,5,4.596257,5.763037,1.244685,24.251951,uniform_fins,pending,67,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0356.tar.gz,9941679823beb50e9ab6b292e86a58b6464b276d07a8aadbca51f0f64537f0d9,1413627,true,true,2.7381006152916534,true,369.80332,213.653
id_train_0372,id_train,8.418019,6,2.018018,4.214248,0.88912,12.427699,uniform_fins,pending,68,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0372.tar.gz,b24ebf3a779a83cd11ebf6bbae5a09b60fa5d9fb1926e0cc289d10759562796a,989562,true,true,0.9997150859495968,true,309.22065,31.272
id_train_0083,id_train,8.770371,7,5.593193,2.28964,0.658605,6.151116,uniform_fins,pending,69,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0083.tar.gz,1131c341b6f698baeffb76b051a1661142e8f00923068df9bf08c24bb98b7151,1819791,true,true,1.2070683375806655,true,322.00082,155.091
id_train_0339,id_train,6.360905,8,2.136246,2.378755,1.019939,8.141482,uniform_fins,pending,70,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0339.tar.gz,d20a116f7e1de98d728ffafc620538ec03e59fd820731122c3f3bd4ab6942ac6,1086238,true,true,0.9997757689894594,true,303.52686,32.823
id_train_0215,id_train,8.178394,4,3.812298,3.46037,0.760057,11.94119,uniform_fins,pending,71,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0215.tar.gz,c468c3353efa66c8795d98b2bc9933c1d5b25e8ed1bd83f0d3df6dfd39f4995f,1142191,true,true,0.9955094827981655,true,318.60499,51.929
id_train_0121,id_train,6.195233,5,3.224013,2.699512,1.360157,13.891029,uniform_fins,pending,72,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0121.tar.gz,a2bad30e775ee138cb9735752ea2baeca12a8e45b6d8a713e6e266b5573206b9,988785,true,true,0.9769460201506422,true,316.16732,31.897
id_train_0022,id_train,8.305675,6,2.307341,5.255335,1.373748,24.664619,uniform_fins,pending,73,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0022.tar.gz,a8273a646fe0b7f31e81b7b67ff57763dbdb3f050496268aa9faa58e8c32db6a,1054792,true,true,0.9997232901653156,true,323.31412,44.877
id_train_0343,id_train,5.182668,7,2.069904,5.685896,1.139661,24.530851,uniform_fins,pending,74,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0343.tar.gz,a2e43c0a71828cc3e3bf5a028a82b3d2dddc4b47e4fc9a799266f15a9914b39d,910588,true,true,0.9935288890714541,true,315.96003,27.279
id_train_0379,id_train,6.434098,8,3.920036,3.615448,0.688858,8.417794,uniform_fins,pending,75,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0379.tar.gz,6cb5f9c2da1242233e9c420a1d240613d8cb3fe545a963d987ce1a676059ad06,1568440,true,true,0.9683965300993325,true,311.01154,46.416
id_train_0395,id_train,8.855559,4,2.725676,5.118164,1.358568,32.434252,uniform_fins,pending,76,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0395.tar.gz,46a6cddbc312f9147381da5d855878931758aaa73418aac8a8444d29e80b1b32,987274,true,true,0.9991110348440271,true,340.07453,56.362
id_train_0191,id_train,8.450545,5,3.083192,3.032567,1.320402,15.65683,uniform_fins,pending,77,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0191.tar.gz,19e00bff9e029c87e25c9ed9ffc7901b2296c1c00c5b040c1ea5a0518a232dcc,1142310,true,true,0.9976981106121959,true,319.86585,46.828
id_train_0087,id_train,9.847896,6,2.538881,5.251004,1.004057,19.031835,uniform_fins,pending,78,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0087.tar.gz,834f6e026ef967629140ca98d3c6481e588608bbf7b6dfe14fbff5a68237bca7,1210537,true,true,0.9996788743591792,true,321.73,51.499
id_train_0038,id_train,6.337912,7,2.11331,5.715425,1.379345,32.811199,uniform_fins,pending,79,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0038.tar.gz,57ea2ef1e0effb4413b17ed76f1a1a36fb957e8c0ca7b5eec9f897670821950a,1011684,true,true,0.9958931189215903,true,322.59016,31.919
id_train_0119,id_train,9.831922,8,2.569763,5.958748,0.855817,18.025148,uniform_fins,pending,80,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0119.tar.gz,7c4b2b199c29954fed4f08fbd04861931ea642c2366d29728187857452813e2a,1471528,true,true,0.999841953477491,true,321.93963,51.256
id_train_0380,id_train,6.487953,4,3.066833,3.275511,1.125195,18.650002,uniform_fins,pending,81,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0380.tar.gz,d1245da540fb27d433b17e4e83e52675d3ab8bcde83f097864f42b2b274eb1db,866391,true,true,0.9890804128147554,true,323.40334,28.582
id_train_0236,id_train,9.410765,5,5.080332,5.646823,1.349711,30.121934,uniform_fins,pending,82,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0236.tar.gz,0e97d53ed8dbe866757c739c6669c0ebe7d80c58c8c2c9e41e0f772fab846365,1513338,true,true,0.9603968027009193,true,386.2788,93.238
id_train_0107,id_train,5.739261,6,3.884775,5.901971,0.522889,11.776004,uniform_fins,pending,83,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0107.tar.gz,70b3c5037c8d4daed6cbe5725c73d4ebd8d545a03df8115b917747f048f930e5,1128563,true,true,0.9411892928060189,true,317.40405,28.030
id_train_0073,id_train,7.562949,7,4.972847,5.911559,1.093404,29.513979,uniform_fins,pending,84,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0073.tar.gz,66975098fa2a91a7b163e99bf3ed1682bbbc2adff91da6a1531bc97246e423ed,1530729,true,true,0.925242353118965,true,354.06198,150.855
id_train_0164,id_train,6.227011,8,4.026106,5.782469,0.569795,11.722515,uniform_fins,pending,85,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0164.tar.gz,4b04aab0bbb4220585ce151a0d938ebdde038fbc9436071e9377cd7a535ca809,1490903,true,true,0.9493191330619387,true,318.92658,39.254
id_train_0222,id_train,9.095766,6,2.844271,5.081852,1.113518,22.922383,uniform_fins,pending,88,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0222.tar.gz,990b6ea1351fae07e1af26f8cdd881e94ddeb7d04b30db83bbacae153ae07c1a,1219311,true,true,0.9992801460486733,true,329.0385,49.155
id_train_0213,id_train,9.356128,7,5.453273,5.435559,1.100679,29.638415,uniform_fins,pending,89,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0213.tar.gz,509243728b9cea8dc2a0938b61d45f11f80e6761976b65f6ca944b420f2f6a7e,1804437,true,true,0.9556422379945784,true,391.21902,153.754
id_train_0364,id_train,8.7169,8,5.907288,2.650173,1.442734,13.69251,uniform_fins,pending,90,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0364.tar.gz,1ee490870d2a31c742706aad11a35efc4d32b704d979ae8e1eca7cb1459545a3,2155549,true,true,3.771561049073976,true,388.21062,129.688
id_train_0360,id_train,9.307731,4,5.425946,3.145826,1.176305,19.844988,uniform_fins,pending,91,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0360.tar.gz,368a5cb162aae49dfe0b94aa6f13c1572abec83e60b2390991142ec649f95ebc,1314701,true,true,0.964022428164703,true,355.45508,68.106
id_train_0306,id_train,9.478864,5,4.519326,5.583613,1.491312,33.784178,uniform_fins,pending,92,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0306.tar.gz,a6c86453a874fd42211a999c8dbe713da6beb9f908ee1a637144f5abacfc1522,1374746,true,true,0.9744389130202604,true,379.69509,101.306
id_train_0252,id_train,4.863076,6,2.823289,5.578179,1.400561,32.221368,uniform_fins,pending,93,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0252.tar.gz,714d3dbe75daaae3b3ea267e38ced97fb0ed480cad7ab0f35a35eef786ad077a,875363,true,true,0.9352994476994353,true,336.03426,38.465
id_train_0283,id_train,5.303128,7,2.546394,5.467583,1.28205,33.714985,uniform_fins,pending,94,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0283.tar.gz,6aae1b24c62f1fce3982f9b6105219472f9539c5259f1bafb48dd5d65e604230,984348,true,true,0.9668095090454549,true,333.82082,58.100
id_train_0385,id_train,8.25399,4,5.428562,3.805493,0.368117,7.579495,uniform_fins,pending,96,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0385.tar.gz,745b37b9f1272227e59846bf790176a32c5ec757b22cfd1cc732a934d9395aa6,1233930,true,true,0.9824032230666391,true,315.80528,52.849
id_train_0081,id_train,9.184595,5,5.708784,4.501095,1.432069,26.296801,uniform_fins,pending,97,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0081.tar.gz,e226058a0650fbe64aae0dc72d9e0eff4609ba8b2b1122e4844e1af911143c42,1500613,true,true,0.9413497478108558,true,344.37476,93.243
id_train_0227,id_train,5.969758,6,4.39945,4.837042,0.509962,12.228081,uniform_fins,pending,98,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0227.tar.gz,71faae6a949b162e89db59bd4ccfebe0acdb1622483875262fb27f6d2a9f0135,1185380,true,true,0.9346954635531348,true,321.79167,25.691
id_train_0153,id_train,5.047344,7,2.37445,5.269199,1.497283,39.175795,uniform_fins,pending,99,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0153.tar.gz,db127126df1b9df586cfe6b27c9da41fe8fbf2f3b0ea165a1b629a1b544c8d23,933598,true,true,0.9675141456789536,true,335.46982,157.300
id_train_0014,id_train,4.475013,8,2.792524,5.871724,1.365755,22.982007,uniform_fins,pending,100,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0014.tar.gz,7acbbbd746d6c01ed024e0a51ef6a3d92742d5f10198f0f720f1eae0dbffc869,1068190,true,true,0.925117907586644,true,323.82111,26.712
