case_id,pool,h_ch,n_fin,h_fin,d_in,u_in,q_w,geometry_family,solver_status
id_train_0259,id_train,7.919254,8,5.874138,4.922195,0.988499,14.895632,uniform_fins,pending
id_train_0270,id_train,8.658738,4,3.742465,5.310036,0.600869,12.500095,uniform_fins,pending
id_train_0231,id_train,5.425801,5,3.45643,3.122294,0.635914,5.694961,uniform_fins,pending
id_train_0117,id_train,4.514453,6,2.80227,4.641877,0.993463,13.753361,uniform_fins,pending
id_train_0303,id_train,8.67718,7,3.800281,3.11189,1.143938,14.052953,uniform_fins,pending
id_train_0349,id_train,6.81894,8,4.585926,5.340806,1.369129,23.547552,uniform_fins,pending
id_train_0265,id_train,5.554802,4,3.417455,2.709042,1.482826,16.425349,uniform_fins,pending
id_train_0271,id_train,8.445413,5,5.476392,4.318798,1.303732,17.047005,uniform_fins,pending
id_train_0232,id_train,9.979721,6,4.53457,5.244585,0.953132,15.516835,uniform_fins,pending
id_train_0378,id_train,4.624602,7,2.225535,3.931227,1.301223,20.76667,uniform_fins,pending
id_train_0194,id_train,5.066348,8,2.592513,3.544159,0.556054,6.422859,uniform_fins,pending
id_train_0035,id_train,5.612528,4,3.467904,5.384386,1.29164,28.653352,uniform_fins,pending
id_train_0356,id_train,9.60093,5,4.596257,5.763037,1.244685,24.251951,uniform_fins,pending
id_train_0372,id_train,8.418019,6,2.018018,4.214248,0.88912,12.427699,uniform_fins,pending
id_train_0083,id_train,8.770371,7,5.593193,2.28964,0.658605,6.151116,uniform_fins,pending
id_train_0339,id_train,6.360905,8,2.136246,2.378755,1.019939,8.141482,uniform_fins,pending
id_train_0215,id_train,8.178394,4,3.812298,3.46037,0.760057,11.94119,uniform_fins,pending
id_train_0121,id_train,6.195233,5,3.224013,2.699512,1.360157,13.891029,uniform_fins,pending
id_train_0022,id_train,8.305675,6,2.307341,5.255335,1.373748,24.664619,uniform_fins,pending
id_train_0343,id_train,5.182668,7,2.069904,5.685896,1.139661,24.530851,uniform_fins,pending
id_train_0379,id_train,6.434098,8,3.920036,3.615448,0.688858,8.417794,uniform_fins,pending
id_train_0395,id_train,8.855559,4,2.725676,5.118164,1.358568,32.434252,uniform_fins,pending
id_train_0191,id_train,8.450545,5,3.083192,3.032567,1.320402,15.65683,uniform_fins,pending
id_train_0087,id_train,9.847896,6,2.538881,5.251004,1.004057,19.031835,uniform_fins,pending
id_train_0038,id_train,6.337912,7,2.11331,5.715425,1.379345,32.811199,uniform_fins,pending
id_train_0119,id_train,9.831922,8,2.569763,5.958748,0.855817,18.025148,uniform_fins,pending
id_train_0380,id_train,6.487953,4,3.066833,3.275511,1.125195,18.650002,uniform_fins,pending
id_train_0236,id_train,9.410765,5,5.080332,5.646823,1.349711,30.121934,uniform_fins,pending
id_train_0107,id_train,5.739261,6,3.884775,5.901971,0.522889,11.776004,uniform_fins,pending
id_train_0073,id_train,7.562949,7,4.972847,5.911559,1.093404,29.513979,uniform_fins,pending
id_train_0164,id_train,6.227011,8,4.026106,5.782469,0.569795,11.722515,uniform_fins,pending
id_train_0030,id_train,4.717926,4,3.457468,2.440832,1.462084,18.221102,uniform_fins,pending
id_train_0256,id_train,4.289114,5,2.861549,2.502977,1.294858,13.112545,uniform_fins,pending
id_train_0222,id_train,9.095766,6,2.844271,5.081852,1.113518,22.922383,uniform_fins,pending
id_train_0213,id_train,9.356128,7,5.453273,5.435559,1.100679,29.638415,uniform_fins,pending
id_train_0364,id_train,8.7169,8,5.907288,2.650173,1.442734,13.69251,uniform_fins,pending
id_train_0360,id_train,9.307731,4,5.425946,3.145826,1.176305,19.844988,uniform_fins,pending
id_train_0306,id_train,9.478864,5,4.519326,5.583613,1.491312,33.784178,uniform_fins,pending
id_train_0252,id_train,4.863076,6,2.823289,5.578179,1.400561,32.221368,uniform_fins,pending
id_train_0283,id_train,5.303128,7,2.546394,5.467583,1.28205,33.714985,uniform_fins,pending
id_train_0064,id_train,8.585858,8,3.441883,5.724862,1.287406,26.841368,uniform_fins,pending
id_train_0385,id_train,8.25399,4,5.428562,3.805493,0.368117,7.579495,uniform_fins,pending
id_train_0081,id_train,9.184595,5,5.708784,4.501095,1.432069,26.296801,uniform_fins,pending
id_train_0227,id_train,5.969758,6,4.39945,4.837042,0.509962,12.228081,uniform_fins,pending
id_train_0153,id_train,5.047344,7,2.37445,5.269199,1.497283,39.175795,uniform_fins,pending
id_train_0014,id_train,4.475013,8,2.792524,5.871724,1.365755,22.982007,uniform_fins,pending
id_train_0010,id_train,4.78337,4,2.019559,4.889072,1.062196,27.608375,uniform_fins,pending
id_train_0336,id_train,7.71127,5,2.475296,3.185574,0.851835,11.322401,uniform_fins,pending
id_train_0292,id_train,7.960097,6,3.135634,3.40032,1.213953,21.057288,uniform_fins,pending
id_train_0008,id_train,5.753754,7,4.226263,3.412697,0.347716,6.483962,uniform_fins,pending
id_train_0369,id_train,9.804117,8,2.280944,4.934389,1.351313,27.100756,uniform_fins,pending
id_train_0290,id_train,8.594123,4,2.623516,4.861237,0.201059,5.664268,uniform_fins,pending
id_train_0011,id_train,8.384153,5,3.5125,5.048822,1.412475,32.317929,uniform_fins,pending
id_train_0332,id_train,5.491475,6,3.388599,3.82891,0.563336,11.424794,uniform_fins,pending
id_train_0068,id_train,6.721157,7,3.052548,3.270908,1.305819,24.423883,uniform_fins,pending
id_train_0209,id_train,9.876716,8,3.71282,5.93911,1.145003,28.152015,uniform_fins,pending
id_train_0165,id_train,9.212562,4,4.889842,4.535081,1.041961,27.419611,uniform_fins,pending
id_train_0151,id_train,4.690919,5,2.595744,3.965074,1.15296,21.155946,uniform_fins,pending
id_train_0367,id_train,5.777314,6,2.380506,2.214973,0.614437,7.528889,uniform_fins,pending
id_train_0143,id_train,8.986605,7,4.928698,3.973408,1.37608,33.058087,uniform_fins,pending
id_train_0384,id_train,5.858004,8,2.480235,2.084425,1.473015,12.963519,uniform_fins,pending
id_train_0155,id_train,7.796683,4,3.145808,5.503145,1.416902,45.58714,uniform_fins,pending
id_train_0086,id_train,4.054366,5,2.79693,3.851512,1.035889,18.545154,uniform_fins,pending
id_train_0357,id_train,5.264988,6,3.247477,4.789222,0.545565,15.205789,uniform_fins,pending
id_train_0118,id_train,8.206314,7,5.594286,2.839708,1.237469,21.51703,uniform_fins,pending
id_train_0049,id_train,7.888393,8,4.700478,2.362333,0.935983,9.709571,uniform_fins,pending
id_train_0090,id_train,9.272761,4,4.752452,5.358129,0.585086,18.624016,uniform_fins,pending
id_train_0326,id_train,9.937714,5,2.218597,2.880913,1.201441,16.267369,uniform_fins,pending
id_train_0037,id_train,4.648282,6,3.003171,4.155753,1.474044,36.241756,uniform_fins,pending
id_train_0298,id_train,7.294095,7,2.525803,4.269906,1.170048,31.009347,uniform_fins,pending
id_train_0039,id_train,4.949312,8,2.744462,3.134892,0.399811,5.755022,uniform_fins,pending
id_train_0280,id_train,9.53322,4,5.009774,2.787583,1.1669,19.407503,uniform_fins,pending
id_train_0281,id_train,6.69628,5,3.216491,4.723494,1.307282,29.408897,uniform_fins,pending
id_train_0162,id_train,7.702872,6,5.039561,4.876993,0.382504,11.198215,uniform_fins,pending
id_train_0233,id_train,7.841131,7,2.723344,4.591551,1.00988,29.566668,uniform_fins,pending
id_train_0139,id_train,7.028978,8,3.870469,4.013572,1.299299,24.079221,uniform_fins,pending
id_train_0370,id_train,5.922248,4,3.158833,5.127559,0.955286,31.060384,uniform_fins,pending
id_train_0116,id_train,7.084746,5,3.279203,4.027087,0.554365,10.662662,uniform_fins,pending
id_train_0382,id_train,8.949351,6,5.096907,2.138548,0.837292,10.752038,uniform_fins,pending
id_train_0093,id_train,5.862354,7,2.061685,4.866769,0.933795,31.351239,uniform_fins,pending
id_train_0324,id_train,5.581874,8,2.674095,4.211494,1.114999,21.838312,uniform_fins,pending
id_train_0245,id_train,9.346037,4,3.833901,4.002372,1.065053,27.927853,uniform_fins,pending
id_train_0341,id_train,6.51131,5,4.859297,3.906127,1.209624,23.49457,uniform_fins,pending
id_train_0062,id_train,7.606224,6,3.498598,4.077394,0.677995,17.270299,uniform_fins,pending
id_train_0193,id_train,9.507991,7,3.906859,5.09462,0.916463,33.009633,uniform_fins,pending
id_train_0074,id_train,7.140367,8,2.697572,5.558868,0.925882,24.728725,uniform_fins,pending
id_train_0190,id_train,8.296243,4,3.979663,2.60396,0.299373,5.239479,uniform_fins,pending
id_train_0331,id_train,8.70473,5,5.563375,2.82465,1.021982,15.979428,uniform_fins,pending
id_train_0287,id_train,5.00698,6,3.491268,4.55096,1.023423,30.505851,uniform_fins,pending
id_train_0358,id_train,9.771873,7,4.652325,4.968419,1.243029,44.462064,uniform_fins,pending
id_train_0154,id_train,6.792152,8,2.046839,4.039711,0.621169,12.093409,uniform_fins,pending
id_train_0100,id_train,8.189972,4,3.622415,4.74672,1.46385,48.030946,uniform_fins,pending
id_train_0371,id_train,9.401215,5,2.914413,4.806385,1.426357,39.246245,uniform_fins,pending
id_train_0342,id_train,9.561136,6,3.464653,5.327133,0.533124,19.303415,uniform_fins,pending
id_train_0183,id_train,9.056208,7,3.598823,5.548406,0.448861,18.782495,uniform_fins,pending
id_train_0204,id_train,8.823152,8,3.012322,4.147931,0.701474,14.076093,uniform_fins,pending
id_train_0040,id_train,8.109648,4,3.866666,3.237072,1.41845,31.819771,uniform_fins,pending
id_train_0111,id_train,6.591001,5,4.506488,4.107162,1.045128,25.360545,uniform_fins,pending
id_train_0337,id_train,4.184637,6,2.673552,3.706759,1.484916,37.612482,uniform_fins,pending
id_train_0333,id_train,9.24059,7,4.592476,4.554888,1.388111,49.427598,uniform_fins,pending
id_train_0299,id_train,5.328096,8,2.568443,5.517678,0.676458,18.296855,uniform_fins,pending
id_train_0345,id_train,5.15322,4,3.503358,4.402524,1.164723,36.42168,uniform_fins,pending
id_train_0076,id_train,4.427268,5,2.355794,5.275757,1.057689,28.092253,uniform_fins,pending
id_train_0072,id_train,8.472303,6,3.218389,4.774032,0.443073,14.551515,uniform_fins,pending
id_train_0293,id_train,4.901187,7,2.29608,3.212645,0.413291,10.999234,uniform_fins,pending
id_train_0289,id_train,6.418735,8,3.430293,3.450707,1.195643,22.385503,uniform_fins,pending
id_train_0210,id_train,5.340364,4,2.759668,4.42849,1.47774,46.712777,uniform_fins,pending
id_train_0056,id_train,4.684803,5,3.188488,2.237031,1.037899,14.325829,uniform_fins,pending
id_train_0352,id_train,9.783137,6,2.762082,3.557722,1.458212,36.278035,uniform_fins,pending
id_train_0133,id_train,7.544914,7,5.636445,3.984079,1.27632,42.542654,uniform_fins,pending
id_train_0304,id_train,8.782423,8,4.975288,3.884916,1.050022,23.756667,uniform_fins,pending
id_train_0185,id_train,7.437591,4,4.278568,4.281753,0.960159,30.611782,uniform_fins,pending
id_train_0126,id_train,8.635386,5,2.430219,3.244608,0.380301,7.938243,uniform_fins,pending
id_train_0112,id_train,4.375457,6,2.985148,5.066903,0.746282,22.835258,uniform_fins,pending
id_train_0238,id_train,6.888895,7,3.676683,4.477601,0.714582,27.655334,uniform_fins,pending
id_train_0044,id_train,7.860888,8,4.794025,3.876473,0.973338,22.282812,uniform_fins,pending
id_train_0350,id_train,6.475335,4,3.142659,3.811346,1.032828,31.914752,uniform_fins,pending
id_train_0036,id_train,7.900527,5,4.017779,5.195687,0.784107,27.976808,uniform_fins,pending
id_train_0132,id_train,5.834692,6,2.718107,2.942626,1.21619,25.566372,uniform_fins,pending
id_train_0078,id_train,6.340086,7,4.662282,4.425915,1.256396,49.815513,uniform_fins,pending
id_train_0389,id_train,6.075925,8,4.349797,4.520304,0.592053,16.325327,uniform_fins,pending
id_train_0175,id_train,7.694639,4,3.962126,4.223163,0.87515,30.390729,uniform_fins,pending
id_train_0021,id_train,9.761048,5,4.305516,2.020097,1.27348,18.468806,uniform_fins,pending
id_train_0127,id_train,5.354437,6,2.682839,3.74802,1.328686,36.999389,uniform_fins,pending
id_train_0248,id_train,4.577182,7,2.39373,2.489211,0.931011,21.617592,uniform_fins,pending
id_train_0134,id_train,9.140393,8,4.469279,3.763448,0.98399,23.283071,uniform_fins,pending
id_train_0170,id_train,6.049615,4,4.530226,4.666752,0.607897,23.448655,uniform_fins,pending
id_train_0101,id_train,9.905886,5,3.026037,4.373083,0.961599,31.18329,uniform_fins,pending
id_train_0187,id_train,4.263083,6,2.652654,4.918886,1.189513,38.307584,uniform_fins,pending
id_train_0023,id_train,4.803389,7,2.392889,3.00172,1.160428,32.951707,uniform_fins,pending
id_train_0239,id_train,9.129423,8,2.944268,5.22131,1.344589,44.582129,uniform_fins,pending
id_train_0130,id_train,5.812784,4,3.715576,3.713455,0.633914,19.576363,uniform_fins,pending
id_train_0196,id_train,9.671439,5,5.693917,2.53816,0.706617,13.31812,uniform_fins,pending
id_train_0047,id_train,8.90805,6,2.935682,5.843905,0.871731,39.812059,uniform_fins,pending
id_train_0203,id_train,9.461425,7,4.43778,5.490239,0.785704,42.93626,uniform_fins,pending
id_train_0219,id_train,7.954742,8,3.707942,4.574277,0.211374,6.211039,uniform_fins,pending
id_train_0045,id_train,7.462585,4,2.676753,4.279374,0.417569,14.904128,uniform_fins,pending
id_train_0301,id_train,5.218561,5,3.877285,5.106163,1.134481,48.806594,uniform_fins,pending
id_train_0387,id_train,7.783779,6,3.995465,4.201759,1.089986,35.962046,uniform_fins,pending
id_train_0353,id_train,4.344489,7,2.084871,3.196287,1.221302,39.364305,uniform_fins,pending
id_train_0359,id_train,9.65751,8,4.772956,2.961563,1.104037,21.25263,uniform_fins,pending
id_train_0025,id_train,4.52084,4,2.534162,3.73619,1.397573,43.642951,uniform_fins,pending
id_train_0071,id_train,4.797244,5,3.134493,2.10462,1.32977,25.087958,uniform_fins,pending
id_train_0397,id_train,4.16538,6,2.740347,5.022747,1.288627,42.861405,uniform_fins,pending
id_train_0363,id_train,6.538146,7,2.567104,5.074713,0.722017,37.075696,uniform_fins,pending
id_train_0059,id_train,7.832017,8,4.70837,4.168335,1.051637,29.957708,uniform_fins,pending
id_train_0145,id_train,5.295718,4,3.369887,5.378362,0.795459,35.875328,uniform_fins,pending
id_train_0156,id_train,9.153237,5,3.109078,3.967322,1.364664,48.553992,uniform_fins,pending
id_train_0092,id_train,7.267505,6,3.864253,4.656122,1.27096,47.971216,uniform_fins,pending
id_train_0043,id_train,4.550226,7,2.059237,4.41856,1.006016,45.837438,uniform_fins,pending
id_train_0269,id_train,4.541365,8,2.088359,5.656143,1.219148,38.28987,uniform_fins,pending
id_train_0250,id_train,7.619924,4,2.638698,5.209176,0.884063,42.186988,uniform_fins,pending
id_train_0266,id_train,8.556099,5,4.220222,5.814495,0.388342,20.330533,uniform_fins,pending
id_train_0182,id_train,7.826016,6,3.249181,4.756612,1.226753,49.745289,uniform_fins,pending
id_train_0053,id_train,7.203682,7,4.649857,3.535106,1.187893,44.324085,uniform_fins,pending
id_train_0309,id_train,9.514085,8,2.871628,4.629844,1.261052,41.301821,uniform_fins,pending
id_train_0375,id_train,4.013808,4,2.394267,5.233566,1.04017,38.565855,uniform_fins,pending
id_train_0106,id_train,9.004612,5,2.12878,2.766178,0.269645,6.774574,uniform_fins,pending
id_train_0317,id_train,5.841423,6,2.530282,2.866369,0.826157,20.626454,uniform_fins,pending
id_train_0158,id_train,8.072592,7,4.983726,3.048187,0.895132,29.143167,uniform_fins,pending
id_train_0264,id_train,9.338263,8,2.926822,4.238578,0.93754,30.917636,uniform_fins,pending
id_train_0140,id_train,8.063702,4,5.582911,5.451133,0.949514,48.295488,uniform_fins,pending
id_train_0241,id_train,7.50527,5,2.555502,3.09018,1.129214,32.265237,uniform_fins,pending
id_train_0262,id_train,4.726262,6,2.18046,3.067341,0.973593,26.22103,uniform_fins,pending
id_train_0373,id_train,7.04885,7,3.150901,4.807515,0.474433,24.951175,uniform_fins,pending
id_train_0179,id_train,8.289994,8,4.072642,5.03619,0.495744,19.637758,uniform_fins,pending
id_train_0205,id_train,7.679286,4,2.559718,5.281089,0.748767,37.791978,uniform_fins,pending
id_train_0016,id_train,9.077524,5,5.516072,2.540794,0.371026,8.911766,uniform_fins,pending
id_train_0212,id_train,5.039332,6,2.814973,3.313862,0.339718,10.052264,uniform_fins,pending
id_train_0388,id_train,9.04004,7,3.414648,3.951152,0.321984,15.424254,uniform_fins,pending
id_train_0114,id_train,5.670647,8,4.099812,2.946836,0.606274,14.185577,uniform_fins,pending
id_train_0325,id_train,5.438108,4,3.676804,5.60265,0.632592,33.81734,uniform_fins,pending
id_train_0296,id_train,8.997502,5,5.490853,3.369925,1.337763,43.862394,uniform_fins,pending
id_train_0067,id_train,4.063388,6,3.040365,5.124242,1.184664,43.388511,uniform_fins,pending
id_train_0063,id_train,9.019474,7,2.243504,4.859591,0.753712,44.91527,uniform_fins,pending
id_train_0109,id_train,4.995609,8,3.348604,4.623072,0.788266,28.955816,uniform_fins,pending
id_train_0070,id_train,7.935477,4,4.95992,2.045717,1.101984,22.462997,uniform_fins,pending
id_train_0396,id_train,9.910456,5,4.392562,2.899703,0.657061,19.149502,uniform_fins,pending
id_train_0027,id_train,6.403941,6,3.772798,2.938362,1.32386,40.09897,uniform_fins,pending
id_train_0348,id_train,6.901652,7,3.05515,4.434234,0.482993,26.665705,uniform_fins,pending
id_train_0334,id_train,8.318933,8,2.177264,4.515415,1.015412,37.724124,uniform_fins,pending
id_train_0095,id_train,7.164031,4,2.009966,4.091222,0.42824,17.748857,uniform_fins,pending
id_train_0261,id_train,8.533014,5,5.511665,2.674657,0.696892,19.005406,uniform_fins,pending
id_train_0167,id_train,7.48572,6,3.66431,4.884214,0.593211,29.87707,uniform_fins,pending
id_train_0178,id_train,8.83567,7,3.248294,3.81917,0.507171,24.464474,uniform_fins,pending
id_train_0184,id_train,9.395096,8,3.060265,3.188158,1.335209,35.135294,uniform_fins,pending
id_train_0060,id_train,5.41773,4,2.212417,4.164804,0.791426,34.316507,uniform_fins,pending
id_train_0286,id_train,5.19501,5,2.045046,4.767671,0.996182,48.968863,uniform_fins,pending
id_train_0257,id_train,9.647022,6,4.122629,2.782297,1.177891,35.741876,uniform_fins,pending
id_train_0018,id_train,4.273981,7,2.493053,2.800853,0.880573,31.580311,uniform_fins,pending
id_train_0329,id_train,4.814796,8,3.472792,2.250601,0.852795,17.129774,uniform_fins,pending
id_train_0225,id_train,7.724309,4,2.5605,3.837494,1.070667,43.051372,uniform_fins,pending
id_train_0316,id_train,4.099713,5,2.630092,5.17226,0.704608,30.448943,uniform_fins,pending
id_train_0097,id_train,6.456369,6,3.423555,5.923326,0.226503,14.644323,uniform_fins,pending
id_train_0123,id_train,4.910563,7,2.912747,3.054853,0.491416,19.746232,uniform_fins,pending
id_train_0229,id_train,9.73692,8,3.181873,5.770411,0.8609,45.786093,uniform_fins,pending
id_train_0260,id_train,9.489571,4,4.086993,3.50767,0.728677,27.75464,uniform_fins,pending
id_train_0211,id_train,7.377479,5,5.280445,5.68835,0.761244,46.204041,uniform_fins,pending
id_train_0322,id_train,6.462096,6,4.030078,2.616531,0.949854,28.301389,uniform_fins,pending
id_train_0308,id_train,9.887834,7,2.19281,4.337182,0.430657,25.273031,uniform_fins,pending
id_train_0394,id_train,4.312788,8,2.276074,2.981609,1.11954,32.592223,uniform_fins,pending
id_train_0055,id_train,6.863099,4,4.105315,2.170499,0.63921,15.474682,uniform_fins,pending
id_train_0391,id_train,4.217347,5,2.21988,2.988026,0.728516,25.452673,uniform_fins,pending
id_train_0217,id_train,4.412982,6,2.189525,3.758466,1.110774,47.804011,uniform_fins,pending
id_train_0278,id_train,9.740567,7,3.372193,5.002855,0.462526,32.072172,uniform_fins,pending
id_train_0159,id_train,5.371135,8,3.745734,2.29503,1.148712,26.14785,uniform_fins,pending
id_train_0285,id_train,8.961886,4,3.150063,3.043588,1.013474,35.396857,uniform_fins,pending
id_train_0311,id_train,8.133381,5,3.177088,4.189391,0.694798,34.470315,uniform_fins,pending
id_train_0042,id_train,6.389412,6,3.35692,2.422798,1.292972,37.204428,uniform_fins,pending
id_train_0098,id_train,9.455205,7,4.500372,4.639163,0.578967,38.516773,uniform_fins,pending
id_train_0129,id_train,8.353961,8,3.815952,4.956467,0.841705,42.659812,uniform_fins,pending
id_train_0180,id_train,6.004384,4,4.214196,3.330123,1.230854,48.622096,uniform_fins,pending
id_train_0031,id_train,5.987884,5,3.932186,2.843148,0.419065,14.283735,uniform_fins,pending
id_train_0032,id_train,8.521366,6,5.527514,2.496016,1.444441,42.953522,uniform_fins,pending
id_train_0393,id_train,7.274495,7,4.734198,2.319317,0.806355,26.997381,uniform_fins,pending
id_train_0124,id_train,5.698386,8,3.969096,3.527848,1.239291,46.32811,uniform_fins,pending
id_train_0200,id_train,9.863401,4,5.07196,4.985041,0.525088,31.723324,uniform_fins,pending
id_train_0136,id_train,6.649991,5,4.147622,3.467434,0.587632,25.687536,uniform_fins,pending
id_train_0082,id_train,9.36091,6,3.883483,5.528788,0.660702,43.748737,uniform_fins,pending
id_train_0323,id_train,6.182785,7,4.5822,2.527691,0.902695,34.81376,uniform_fins,pending
id_train_0279,id_train,8.159432,8,4.367187,2.909612,0.925158,28.808925,uniform_fins,pending
id_train_0110,id_train,7.748876,4,3.507698,2.052166,0.981038,26.577852,uniform_fins,pending
id_train_0366,id_train,8.739647,5,3.165984,4.710402,0.737161,46.994559,uniform_fins,pending
id_train_0237,id_train,7.36776,6,5.305248,5.874014,0.610883,43.822262,uniform_fins,pending
id_train_0058,id_train,5.394188,7,3.888328,3.380448,0.579214,30.162307,uniform_fins,pending
id_train_0079,id_train,5.879696,8,4.304281,4.463542,0.424413,20.715712,uniform_fins,pending
id_train_0160,id_train,4.933614,4,2.19165,5.560631,0.596963,39.049427,uniform_fins,pending
id_train_0321,id_train,6.1353,5,2.963392,5.741207,0.422051,36.549347,uniform_fins,pending
id_train_0307,id_train,8.924376,6,2.392874,3.217916,0.801615,33.933738,uniform_fins,pending
id_train_0113,id_train,9.250006,7,2.699788,5.893744,0.235322,21.455733,uniform_fins,pending
id_train_0004,id_train,7.246811,8,3.307605,3.022182,1.138031,40.843804,uniform_fins,pending
id_train_0005,id_train,6.847525,4,2.761921,2.71642,1.332786,48.266318,uniform_fins,pending
id_train_0171,id_train,7.186889,5,3.0523,5.410939,0.575533,48.370403,uniform_fins,pending
id_train_0377,id_train,6.057811,6,4.16662,2.326294,1.068538,34.620584,uniform_fins,pending
id_train_0173,id_train,7.094769,7,3.830893,3.488278,0.542115,29.296947,uniform_fins,pending
