case_id,pool,h_ch,n_fin,h_fin,d_in,u_in,q_w,geometry_family,solver_status,source_parameter_file,nearest_id_train_distance,ood_axis,distance_bin,stratification_key,temperature_risk_proxy,acquisition_rank_in_pool,target_retained_count,selection_reason
ood_fresh_0044,ood_fresh,12.061692,12,2.400601,4.999859,0.922244,15.45733,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.09691840,h_ch_high,4,ood_fresh|h_ch_high|bin_4,5.02831113,14,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0002,ood_fresh,11.849743,12,2.500497,2.773509,1.451251,11.182283,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.22024525,h_ch_high,5,ood_fresh|h_ch_high|bin_5,4.16725069,15,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0063,ood_fresh,7.037644,3,2.669291,7.297119,0.858744,34.49137,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.58416326,d_in_high,1,ood_fresh|d_in_high|bin_1,2.14018198,16,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0087,ood_fresh,8.527264,3,3.655419,7.389144,1.157771,20.079927,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.66956489,d_in_high,2,ood_fresh|d_in_high|bin_2,0.88019034,17,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0049,ood_fresh,6.220082,10,2.09454,7.419212,1.387063,35.649929,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.73667074,d_in_high,3,ood_fresh|d_in_high|bin_3,5.16507206,18,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0053,ood_fresh,5.746158,12,2.914304,7.237486,0.985301,22.16106,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.11282772,d_in_high,4,ood_fresh|d_in_high|bin_4,5.87131392,19,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0083,ood_fresh,6.046397,12,4.125812,7.135158,1.492886,47.66874,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.23589161,d_in_high,5,ood_fresh|d_in_high|bin_5,7.92139422,20,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0045,ood_fresh,9.587285,3,4.503357,0.578476,1.293078,19.231823,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.55913517,d_in_low,1,ood_fresh|d_in_low|bin_1,9.64143445,21,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0037,ood_fresh,6.398438,10,2.656227,0.765066,1.03915,15.844353,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.67764787,d_in_low,2,ood_fresh|d_in_low|bin_2,24.91193021,22,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0007,ood_fresh,7.136567,10,2.655142,0.808242,0.580309,39.595242,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.72950744,d_in_low,3,ood_fresh|d_in_low|bin_3,105.52425481,23,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0035,ood_fresh,6.106054,12,3.555995,0.763869,1.085632,29.361825,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.08223700,d_in_low,4,ood_fresh|d_in_low|bin_4,53.10956978,24,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0089,ood_fresh,9.05572,12,4.6858,0.713635,1.4786,49.668648,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.28443898,d_in_low,5,ood_fresh|d_in_low|bin_5,70.60683656,25,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0030,ood_fresh,11.645771,3,5.491372,4.399015,1.405824,27.5495,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.57365482,h_ch_high,1,ood_fresh|h_ch_high|bin_1,1.67054659,26,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0006,ood_fresh,11.630479,3,3.076598,2.021298,1.335834,14.049038,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.65947501,h_ch_high,2,ood_fresh|h_ch_high|bin_2,1.95116958,27,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0022,ood_fresh,11.999816,10,4.917412,2.142636,1.355134,10.004617,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.73851519,h_ch_high,3,ood_fresh|h_ch_high|bin_3,4.30704928,28,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0070,ood_fresh,11.626418,10,3.125681,2.866607,0.494607,7.738779,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.78540177,h_ch_high,4,ood_fresh|h_ch_high|bin_4,6.82266491,29,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0014,ood_fresh,12.156635,12,2.018736,4.001861,1.063117,14.818929,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.15586154,h_ch_high,5,ood_fresh|h_ch_high|bin_5,5.22474397,30,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0039,ood_fresh,4.814046,3,2.684837,7.393838,0.666502,18.08738,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.67085644,d_in_high,2,ood_fresh|d_in_high|bin_2,2.11395256,31,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0067,ood_fresh,5.929444,10,2.73773,7.410609,1.35791,33.423197,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.71472445,d_in_high,3,ood_fresh|d_in_high|bin_3,5.18887303,32,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0041,ood_fresh,7.528667,12,4.539402,7.192885,0.479775,13.610741,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.09289362,d_in_high,4,ood_fresh|d_in_high|bin_4,5.91605630,33,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0023,ood_fresh,7.543314,12,4.27179,7.123889,0.461993,36.050538,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.13208854,d_in_high,5,ood_fresh|d_in_high|bin_5,16.43048829,34,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0009,ood_fresh,5.455536,3,2.658543,0.733329,0.339555,9.814327,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.49527853,d_in_low,1,ood_fresh|d_in_low|bin_1,14.78028478,35,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0075,ood_fresh,7.44467,3,5.24062,0.598722,0.655022,42.777562,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.65969371,d_in_low,2,ood_fresh|d_in_low|bin_2,40.90403900,36,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0019,ood_fresh,4.045976,10,2.060132,0.845096,0.381654,33.965526,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.75387427,d_in_low,3,ood_fresh|d_in_low|bin_3,131.63533804,37,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0047,ood_fresh,4.725898,12,3.084154,0.676422,0.571145,46.956952,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.09618368,d_in_low,4,ood_fresh|d_in_low|bin_4,182.31695323,38,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0054,ood_fresh,11.679768,3,4.151211,5.665805,0.550449,16.022118,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.50596282,h_ch_high,1,ood_fresh|h_ch_high|bin_1,1.92651539,39,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0066,ood_fresh,12.039806,3,2.92414,2.950746,1.21842,21.01321,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.64455719,h_ch_high,2,ood_fresh|h_ch_high|bin_2,2.19176921,40,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0048,ood_fresh,12.198743,3,4.743581,3.649266,0.894715,48.887061,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.72898642,h_ch_high,3,ood_fresh|h_ch_high|bin_3,5.61480861,41,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0026,ood_fresh,11.728788,12,2.674015,5.551712,0.939623,28.308689,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.08044441,h_ch_high,4,ood_fresh|h_ch_high|bin_4,8.14011328,42,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0086,ood_fresh,11.743218,12,5.952822,2.643005,0.686532,8.083417,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.16835746,h_ch_high,5,ood_fresh|h_ch_high|bin_5,6.68232313,43,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0001,ood_fresh,8.344883,10,2.885824,7.099898,1.299104,32.213429,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.63516984,d_in_high,2,ood_fresh|d_in_high|bin_2,4.36567036,44,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0027,ood_fresh,8.597681,3,4.594382,7.497288,0.263433,28.854721,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.68965778,d_in_high,3,ood_fresh|d_in_high|bin_3,5.47865276,45,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0071,ood_fresh,4.999576,12,2.780619,7.034665,1.252925,43.042807,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.07999290,d_in_high,4,ood_fresh|d_in_high|bin_4,10.30703131,46,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0005,ood_fresh,8.606858,12,5.217134,7.346235,0.361431,34.606242,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.24076340,d_in_high,5,ood_fresh|d_in_high|bin_5,19.55039261,47,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0081,ood_fresh,6.911766,3,3.08067,0.508836,1.283136,26.921546,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.54432469,d_in_low,1,ood_fresh|d_in_low|bin_1,15.46253672,48,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0031,ood_fresh,4.321332,10,3.05765,0.946493,1.010442,31.806078,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.63974146,d_in_low,2,ood_fresh|d_in_low|bin_2,41.57108278,49,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0060,ood_fresh,12.003979,3,5.269529,4.272559,1.375159,31.277393,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.60440418,h_ch_high,1,ood_fresh|h_ch_high|bin_1,1.99627713,50,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0084,ood_fresh,11.940069,3,2.063991,3.262105,0.969926,45.282501,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.65951900,h_ch_high,2,ood_fresh|h_ch_high|bin_2,5.36692018,51,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0028,ood_fresh,12.177201,10,2.281582,4.890742,1.137672,43.941772,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.69675547,h_ch_high,3,ood_fresh|h_ch_high|bin_3,9.87178656,52,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0088,ood_fresh,12.007025,10,5.052101,4.683608,0.634324,30.071099,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.80468363,h_ch_high,4,ood_fresh|h_ch_high|bin_4,12.65224610,53,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0056,ood_fresh,11.846152,12,5.00177,5.984543,0.43741,12.180319,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.22103550,h_ch_high,5,ood_fresh|h_ch_high|bin_5,6.97959499,54,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0061,ood_fresh,5.975663,10,4.456985,7.374903,0.871439,26.458238,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.76349126,d_in_high,3,ood_fresh|d_in_high|bin_3,6.35108379,55,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0029,ood_fresh,8.257556,12,3.415732,7.248933,0.231907,40.098188,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.12698136,d_in_high,5,ood_fresh|d_in_high|bin_5,35.77898889,56,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0021,ood_fresh,9.220555,3,5.443167,0.911026,0.758252,32.572318,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.56905115,d_in_low,1,ood_fresh|d_in_low|bin_1,17.68217147,57,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0013,ood_fresh,5.07297,10,2.329275,0.818832,0.295023,20.768385,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.65617875,d_in_low,2,ood_fresh|d_in_low|bin_2,107.46376637,58,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0000,ood_fresh,11.895816,3,4.1834,4.325445,0.956919,23.971437,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.52144075,h_ch_high,1,ood_fresh|h_ch_high|bin_1,2.17179768,59,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0072,ood_fresh,11.808554,3,5.795372,2.430692,0.544069,21.579684,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.65389077,h_ch_high,2,ood_fresh|h_ch_high|bin_2,6.11916883,60,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0046,ood_fresh,11.668316,10,3.768512,3.736531,1.236081,42.230046,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.68873751,h_ch_high,3,ood_fresh|h_ch_high|bin_3,11.42920564,61,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0038,ood_fresh,11.739144,12,5.151559,3.507309,0.429962,16.911523,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.09575549,h_ch_high,4,ood_fresh|h_ch_high|bin_4,16.82169970,62,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0008,ood_fresh,11.857382,12,5.66389,4.779731,0.789714,40.885765,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.23584590,h_ch_high,5,ood_fresh|h_ch_high|bin_5,16.24763277,63,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0073,ood_fresh,4.100405,10,2.09575,7.110898,0.530766,11.909245,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.70511555,d_in_high,3,ood_fresh|d_in_high|bin_3,6.84013059,64,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0017,ood_fresh,8.711315,12,5.587756,7.037673,0.200172,37.491194,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.26801968,d_in_high,5,ood_fresh|d_in_high|bin_5,39.91977811,65,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0057,ood_fresh,8.08031,3,4.004325,0.525035,0.220422,6.995344,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.58237840,d_in_low,1,ood_fresh|d_in_low|bin_1,22.66716206,66,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0012,ood_fresh,12.226775,3,4.858898,3.847744,0.825198,18.692051,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.60096415,h_ch_high,1,ood_fresh|h_ch_high|bin_1,2.20761781,67,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0034,ood_fresh,11.764735,10,4.351708,5.71525,0.893184,30.963079,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.64736770,h_ch_high,2,ood_fresh|h_ch_high|bin_2,7.58189886,68,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0064,ood_fresh,11.953392,10,4.276023,3.364499,1.19428,41.165015,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.74554095,h_ch_high,3,ood_fresh|h_ch_high|bin_3,12.80594782,69,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0058,ood_fresh,12.017145,10,5.304532,3.511238,0.743466,38.157501,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.81194897,h_ch_high,4,ood_fresh|h_ch_high|bin_4,18.27126250,70,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0062,ood_fresh,11.791531,12,4.081213,4.181526,0.613308,36.631119,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.15282207,h_ch_high,5,ood_fresh|h_ch_high|bin_5,21.42535436,71,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0043,ood_fresh,4.386158,10,2.213391,7.127806,0.283326,8.88206,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.76143287,d_in_high,3,ood_fresh|d_in_high|bin_3,8.93414534,72,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0055,ood_fresh,4.220892,10,2.557299,0.978246,0.700894,35.395174,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.62107405,d_in_low,1,ood_fresh|d_in_low|bin_1,64.52880784,73,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0078,ood_fresh,11.548125,3,5.53416,3.105989,0.995462,24.545814,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.47877484,h_ch_high,1,ood_fresh|h_ch_high|bin_1,2.97703614,74,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0010,ood_fresh,11.586132,10,5.741089,3.043506,1.113498,25.960781,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.65063122,h_ch_high,2,ood_fresh|h_ch_high|bin_2,9.57555958,75,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0004,ood_fresh,11.724142,10,3.999421,3.2407,0.71773,37.52356,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.76679356,h_ch_high,3,ood_fresh|h_ch_high|bin_3,20.16573795,76,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0080,ood_fresh,11.60907,12,3.453507,3.571991,0.772466,38.723763,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.11110843,h_ch_high,4,ood_fresh|h_ch_high|bin_4,21.05130790,77,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0020,ood_fresh,11.641767,12,2.46001,4.595956,0.599462,44.383138,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.12293484,h_ch_high,5,ood_fresh|h_ch_high|bin_5,24.16416225,78,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0025,ood_fresh,5.625611,10,2.544068,7.298783,0.347423,27.092765,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.74366311,d_in_high,3,ood_fresh|d_in_high|bin_3,17.32746693,79,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0079,ood_fresh,5.29432,10,3.248202,0.717764,0.458733,24.424346,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.62229870,d_in_low,1,ood_fresh|d_in_low|bin_1,92.72381702,80,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0036,ood_fresh,11.637682,3,4.368874,4.879401,0.914328,47.268956,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.62492457,h_ch_high,1,ood_fresh|h_ch_high|bin_1,3.97318464,81,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0076,ood_fresh,12.007329,10,3.502405,4.638317,1.148131,46.104933,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.68299605,h_ch_high,2,ood_fresh|h_ch_high|bin_2,10.82195038,82,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0040,ood_fresh,12.224202,10,5.727281,2.572702,1.034229,49.408915,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,0.94538209,h_ch_high,4,ood_fresh|h_ch_high|bin_4,23.21181682,83,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
ood_fresh_0074,ood_fresh,11.98645,12,2.538876,2.61642,0.837936,45.628091,uniform_fins,pending,evidence_pack_tier2_steady/03_data/fresh_ood_parameters.csv,1.19358335,h_ch_high,5,ood_fresh|h_ch_high|bin_5,31.21801238,84,90,physical-acquisition candidate ordered by thermal-risk proxy within a pool/regime stratum
