combined_position,case_id,pool,selection_status,converged,dropped,has_archive_manifest_row,archive_exists,archive_path,drop_reason,flow_converged_reported,raw_enthalpy_passed,raw_temperature_extrema_passed,raw_temperature_max_T_K,wall_time_sec
169,id_train_0238,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0238.tar.gz,,true,true,true,346.28019,39.281
170,id_train_0044,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0044.tar.gz,,true,true,true,370.17822,61.467
171,id_train_0350,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0350.tar.gz,,true,true,true,346.18373,26.357
172,id_train_0036,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0036.tar.gz,,true,true,true,352.17212,48.831
173,id_train_0132,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0132.tar.gz,,true,true,true,329.00365,26.183
174,id_train_0078,id_train,dropped,false,true,false,false,,flow solver did not report convergence; flow residuals did not meet convergence contract,false,true,true,356.60326,313.114
175,id_train_0389,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0389.tar.gz,,true,true,true,332.40501,37.781
176,id_train_0175,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0175.tar.gz,,true,true,true,357.30936,23.711
177,id_train_0021,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0021.tar.gz,,true,true,true,338.30429,98.622
178,id_train_0127,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0127.tar.gz,,true,true,true,341.56329,23.589
179,id_train_0248,id_train,retained,true,false,true,true,evidence_pack_tier2_steady/03_data/solver_outputs/id_train_0248.tar.gz,,true,true,true,317.20918,13.371
