acceptance_fraction,threshold_tau,accepted_cases,empirical_coverage_90,id_served_fraction,ood_served_fraction,ood_routed_fraction
0.296,0.4110775291919708,74,0.902050982624563,0.68,0.04,0.96
0.3,0.41357794404029846,75,0.9009971920835419,0.68,0.04666666666666667,0.9533333333333334
0.304,0.4194851815700531,76,0.900716037396319,0.69,0.04666666666666667,0.9533333333333334
0.308,0.42161649465560913,77,0.9019209646116364,0.7,0.04666666666666667,0.9533333333333334
0.312,0.4300846755504608,78,0.9022488021116094,0.71,0.04666666666666667,0.9533333333333334
0.316,0.43358147144317627,79,0.902739215601063,0.72,0.04666666666666667,0.9533333333333334
0.32,0.4338088035583496,80,0.9037329538321199,0.73,0.04666666666666667,0.9533333333333334
0.324,0.43799278140068054,81,0.903387333043395,0.74,0.04666666666666667,0.9533333333333334
0.328,0.44413280487060547,82,0.902699830096899,0.75,0.04666666666666667,0.9533333333333334
0.332,0.4482618272304535,83,0.9034507626210683,0.75,0.05333333333333334,0.9466666666666667
0.336,0.451712965965271,84,0.9039923248984957,0.76,0.05333333333333334,0.9466666666666667
0.34,0.45871639251708984,85,0.9048827429590424,0.76,0.06,0.94
0.344,0.4599422514438629,86,0.9048328437854035,0.77,0.06,0.94
0.348,0.4660015404224396,87,0.9052313069971024,0.78,0.06,0.94
0.352,0.4680124521255493,88,0.9055889077408222,0.79,0.06,0.94
0.356,0.4731362760066986,89,0.9056571084826264,0.8,0.06,0.94
0.36,0.4835979640483856,90,0.9057162701833423,0.81,0.06,0.94
0.364,0.48425382375717163,91,0.9061246747657336,0.82,0.06,0.94
0.368,0.4887249171733856,92,0.9055933571197603,0.82,0.06666666666666667,0.9333333333333333
0.372,0.48895859718322754,93,0.9046795799402024,0.83,0.06666666666666667,0.9333333333333333
0.376,0.4967271685600281,94,0.9042818935218631,0.83,0.07333333333333333,0.9266666666666666
0.38,0.498035192489624,95,0.9037557773981223,0.84,0.07333333333333333,0.9266666666666666
0.384,0.5031858086585999,96,0.9039683023387691,0.85,0.07333333333333333,0.9266666666666666
0.388,0.5104045867919922,97,0.9047713326690093,0.86,0.07333333333333333,0.9266666666666666
0.392,0.5209518671035767,98,0.9044515765648847,0.87,0.07333333333333333,0.9266666666666666
0.396,0.5309819579124451,99,0.9049944762736686,0.88,0.07333333333333333,0.9266666666666666
0.4,0.5413334965705872,100,0.9055986934453576,0.88,0.08,0.92
0.404,0.544137716293335,101,0.9039881389985498,0.88,0.08666666666666667,0.9133333333333333
0.408,0.5496326684951782,102,0.9046711506921701,0.88,0.09333333333333334,0.9066666666666666
0.412,0.5525558590888977,103,0.9052662011324871,0.89,0.09333333333333334,0.9066666666666666
0.416,0.5563658475875854,104,0.9039824464027229,0.9,0.09333333333333334,0.9066666666666666
0.42,0.5580152273178101,105,0.9043360427040747,0.9,0.1,0.9
0.424,0.5606082081794739,106,0.9036577331810153,0.91,0.1,0.9
0.428,0.5617352724075317,107,0.902829584248614,0.91,0.10666666666666667,0.8933333333333333
0.432,0.563100278377533,108,0.9035404879565465,0.92,0.10666666666666667,0.8933333333333333
0.436,0.570041298866272,109,0.9037893092036167,0.93,0.10666666666666667,0.8933333333333333
0.44,0.5721725225448608,110,0.9040583942618515,0.93,0.11333333333333333,0.8866666666666667
0.444,0.5812016129493713,111,0.9042869260218702,0.94,0.11333333333333333,0.8866666666666667
0.448,0.5886591076850891,112,0.9050287323687737,0.94,0.12,0.88
0.452,0.5900311470031738,113,0.905083962574237,0.94,0.12666666666666668,0.8733333333333333
0.456,0.5932132601737976,114,0.9056479146676187,0.95,0.12666666666666668,0.8733333333333333
0.46,0.5968987941741943,115,0.9048286967989768,0.96,0.12666666666666668,0.8733333333333333
0.464,0.5973826050758362,116,0.9046921271415096,0.97,0.12666666666666668,0.8733333333333333
0.468,0.6001580357551575,117,0.9052938125497462,0.97,0.13333333333333333,0.8666666666666667
0.472,0.6099788546562195,118,0.9046387501495797,0.97,0.14,0.86
0.476,0.6165549755096436,119,0.904722914644627,0.97,0.14666666666666667,0.8533333333333333
0.48,0.6195701360702515,120,0.9048960595586731,0.97,0.15333333333333332,0.8466666666666667
0.484,0.6228511333465576,121,0.904394720049284,0.97,0.16,0.84
0.488,0.626147985458374,122,0.90472801100883,0.97,0.16666666666666666,0.8333333333333334
0.492,0.6294316053390503,123,0.9043197713746688,0.98,0.16666666666666666,0.8333333333333334
0.496,0.6296027302742004,124,0.9045707500718067,0.98,0.17333333333333334,0.8266666666666667
0.5,0.632293164730072,125,0.9043530593204042,0.98,0.18,0.8200000000000001
0.504,0.632737398147583,126,0.90402026532641,0.98,0.18666666666666668,0.8133333333333334
0.508,0.6627419590950012,127,0.9025154210206457,0.98,0.19333333333333333,0.8066666666666666
0.512,0.666706383228302,128,0.9022950021608787,0.98,0.2,0.8
0.516,0.6681715250015259,129,0.9018092414947511,0.99,0.2,0.8
0.52,0.6834800839424133,130,0.9024660278115201,0.99,0.20666666666666667,0.7933333333333333
0.524,0.6895838379859924,131,0.9029602165839301,0.99,0.21333333333333335,0.7866666666666666
0.528,0.6901015043258667,132,0.9035766439529234,0.99,0.22,0.78
0.532,0.712941586971283,133,0.9037819696119633,0.99,0.22666666666666666,0.7733333333333333
0.536,0.7130916714668274,134,0.9042585933965459,0.99,0.23333333333333334,0.7666666666666666
0.54,0.7145156264305115,135,0.9043201247809086,0.99,0.24,0.76
0.544,0.7391546368598938,136,0.9032749528450907,0.99,0.24666666666666667,0.7533333333333333
0.548,0.7433861494064331,137,0.9034564159370031,0.99,0.25333333333333335,0.7466666666666666
0.552,0.7472329139709473,138,0.9039667907722881,0.99,0.26,0.74
0.556,0.7526584267616272,139,0.9034194944963932,0.99,0.26666666666666666,0.7333333333333334
0.56,0.7613210082054138,140,0.9040458394168532,0.99,0.2733333333333333,0.7266666666666667
0.564,0.7813884019851685,141,0.9042893564501381,0.99,0.28,0.72
0.568,0.7823137044906616,142,0.9047463047026991,0.99,0.2866666666666667,0.7133333333333334
0.572,0.7908810377120972,143,0.9035163795744907,0.99,0.29333333333333333,0.7066666666666667
0.576,0.796868622303009,144,0.9039467148499845,0.99,0.3,0.7
0.58,0.8080711960792542,145,0.9036110320050823,0.99,0.30666666666666664,0.6933333333333334
0.584,0.8392571210861206,146,0.902900168724749,0.99,0.31333333333333335,0.6866666666666666
0.588,0.8434075117111206,147,0.9034047557532967,0.99,0.32,0.6799999999999999
0.592,0.8499431610107422,148,0.9039089771709246,0.99,0.32666666666666666,0.6733333333333333
0.596,0.8537963032722473,149,0.903581159188016,0.99,0.3333333333333333,0.6666666666666667
0.6,0.8721739649772644,150,0.9023238854463466,0.99,0.34,0.6599999999999999
0.604,0.8905997276306152,151,0.9026068567707435,0.99,0.3466666666666667,0.6533333333333333
0.608,0.9015554189682007,152,0.9030922140155409,0.99,0.35333333333333333,0.6466666666666667
0.612,0.9037435054779053,153,0.9035069988062764,0.99,0.36,0.64
0.616,0.9283633232116699,154,0.9038871016556808,0.99,0.36666666666666664,0.6333333333333333
0.62,0.9340775609016418,155,0.9043223227159523,0.99,0.37333333333333335,0.6266666666666667
0.624,0.937527596950531,156,0.9047971717000726,0.99,0.38,0.62
0.628,0.9466702938079834,157,0.905169262028556,0.99,0.38666666666666666,0.6133333333333333
0.632,0.971682608127594,158,0.9056090038500452,0.99,0.3933333333333333,0.6066666666666667
0.636,0.9769823551177979,159,0.9061325466579471,0.99,0.4,0.6
0.64,0.9847880601882935,160,0.9060058467788344,1.0,0.4,0.6
0.644,0.9954731464385986,161,0.9064546192430533,1.0,0.4066666666666667,0.5933333333333333
0.648,1.0316277742385864,162,0.9066453414182205,1.0,0.41333333333333333,0.5866666666666667
0.652,1.0562742948532104,163,0.9071287040801544,1.0,0.42,0.5800000000000001
0.656,1.0617091655731201,164,0.9076700784804913,1.0,0.4266666666666667,0.5733333333333333
0.66,1.0655752420425415,165,0.9079316648048819,1.0,0.43333333333333335,0.5666666666666667
0.664,1.0818805694580078,166,0.9083383671940114,1.0,0.44,0.56
0.668,1.0832798480987549,167,0.9087540858024208,1.0,0.44666666666666666,0.5533333333333333
0.672,1.083656907081604,168,0.9092120719938054,1.0,0.4533333333333333,0.5466666666666666
0.676,1.0913065671920776,169,0.9094347772198206,1.0,0.46,0.54
0.68,1.1036553382873535,170,0.9097240110052152,1.0,0.4666666666666667,0.5333333333333333
0.684,1.1456726789474487,171,0.9100148805658326,1.0,0.47333333333333333,0.5266666666666666
0.688,1.191773772239685,172,0.9102648894253007,1.0,0.48,0.52
0.692,1.2347930669784546,173,0.910535490644486,1.0,0.4866666666666667,0.5133333333333333
0.696,1.2498899698257446,174,0.9106863617159299,1.0,0.49333333333333335,0.5066666666666666
0.7,1.2543768882751465,175,0.9110368039766751,1.0,0.5,0.5
0.704,1.2863069772720337,176,0.9114323569738265,1.0,0.5066666666666667,0.4933333333333333
0.708,1.347357153892517,177,0.9109801682403482,1.0,0.5133333333333333,0.4866666666666667
0.712,1.4123492240905762,178,0.9113412631989023,1.0,0.52,0.48
0.716,1.4442706108093262,179,0.9116685911871393,1.0,0.5266666666666666,0.4733333333333334
0.72,1.497638463973999,180,0.9120858698207475,1.0,0.5333333333333333,0.4666666666666667
0.724,1.5159629583358765,181,0.9118113813556763,1.0,0.54,0.45999999999999996
0.728,1.550933837890625,182,0.9117471219572157,1.0,0.5466666666666666,0.45333333333333337
0.732,1.6136852502822876,183,0.9120935739376086,1.0,0.5533333333333333,0.44666666666666666
0.736,1.6527475118637085,184,0.9122582807312126,1.0,0.56,0.43999999999999995
0.74,1.673487901687622,185,0.9125111965512903,1.0,0.5666666666666667,0.43333333333333335
0.744,1.7063217163085938,186,0.91297916143885,1.0,0.5733333333333334,0.42666666666666664
0.748,1.7146565914154053,187,0.9133348072311696,1.0,0.58,0.42000000000000004
0.752,1.7894855737686157,188,0.9134236789024286,1.0,0.5866666666666667,0.41333333333333333
0.756,1.803985595703125,189,0.9138451889124353,1.0,0.5933333333333334,0.4066666666666666
0.76,1.8362268209457397,190,0.9139498205917426,1.0,0.6,0.4
0.764,1.8412449359893799,191,0.9139159152757469,1.0,0.6066666666666667,0.3933333333333333
0.768,1.8763781785964966,192,0.914242753774452,1.0,0.6133333333333333,0.3866666666666667
0.772,1.921186089515686,193,0.9145975661933056,1.0,0.62,0.38
0.776,1.9397763013839722,194,0.9150320613931244,1.0,0.6266666666666667,0.3733333333333333
0.78,1.9469038248062134,195,0.9153467055742182,1.0,0.6333333333333333,0.3666666666666667
0.784,1.963716745376587,196,0.9157509966252085,1.0,0.64,0.36
0.788,1.970073938369751,197,0.9161595991609565,1.0,0.6466666666666666,0.3533333333333334
0.792,2.0230908393859863,198,0.9165386113339091,1.0,0.6533333333333333,0.3466666666666667
0.796,2.13582181930542,199,0.9167940635402301,1.0,0.66,0.33999999999999997
0.8,2.140669345855713,200,0.9172099309322994,1.0,0.6666666666666666,0.33333333333333337
0.804,2.1501922607421875,201,0.9175223618580545,1.0,0.6733333333333333,0.32666666666666666
0.808,2.2302565574645996,202,0.9179337771213099,1.0,0.68,0.31999999999999995
0.812,2.2918524742126465,203,0.9182914785553047,1.0,0.6866666666666666,0.31333333333333335
0.816,2.2929847240448,204,0.9185752831794998,1.0,0.6933333333333334,0.30666666666666664
0.82,2.3273186683654785,205,0.9189766163592323,1.0,0.7,0.30000000000000004
0.824,2.462878465652466,206,0.9193203701094359,1.0,0.7066666666666667,0.29333333333333333
0.828,2.5420753955841064,207,0.9197133396800563,1.0,0.7133333333333334,0.2866666666666666
0.832,2.6583850383758545,208,0.9200795066195335,1.0,0.72,0.28
0.836,2.6695711612701416,209,0.9204329336341839,1.0,0.7266666666666667,0.2733333333333333
0.84,2.73972225189209,210,0.9208102946526009,1.0,0.7333333333333333,0.2666666666666667
0.844,2.837059497833252,211,0.9211805463362355,1.0,0.74,0.26
0.848,2.8958866596221924,212,0.9213911249763547,1.0,0.7466666666666667,0.2533333333333333
0.852,3.0279173851013184,213,0.9217585494798438,1.0,0.7533333333333333,0.2466666666666667
0.856,3.043455123901367,214,0.9221236671566823,1.0,0.76,0.24
0.86,3.182065963745117,215,0.9223590676585395,1.0,0.7666666666666667,0.23333333333333328
0.864,3.1974518299102783,216,0.9227219059082755,1.0,0.7733333333333333,0.22666666666666668
0.868,3.2456283569335938,217,0.9230519592935944,1.0,0.78,0.21999999999999997
0.872,3.2498438358306885,218,0.9233804179600479,1.0,0.7866666666666666,0.21333333333333337
0.876,3.2572202682495117,219,0.923679669496303,1.0,0.7933333333333333,0.20666666666666667
0.88,3.271183967590332,220,0.9240205717436519,1.0,0.8,0.19999999999999996
0.884,3.8038649559020996,221,0.9242865052382064,1.0,0.8066666666666666,0.19333333333333336
0.888,3.807002305984497,222,0.9245989467596116,1.0,0.8133333333333334,0.18666666666666665
0.892,3.8103888034820557,223,0.9246833112324515,1.0,0.82,0.18000000000000005
0.896,3.82351016998291,224,0.9248312344490636,1.0,0.8266666666666667,0.17333333333333334
0.9,3.8243424892425537,225,0.9251092324447148,1.0,0.8333333333333334,0.16666666666666663
0.904,3.832507371902466,226,0.9253894548732448,1.0,0.84,0.16000000000000003
0.908,4.110118865966797,227,0.9257158343669057,1.0,0.8466666666666667,0.15333333333333332
0.912,4.1722893714904785,228,0.9260433434211358,1.0,0.8533333333333334,0.1466666666666666
0.916,4.283047199249268,229,0.9262365893952099,1.0,0.86,0.14
0.92,4.770687103271484,230,0.9265188702019795,1.0,0.8666666666666667,0.1333333333333333
0.924,4.784917831420898,231,0.9268412386627658,1.0,0.8733333333333333,0.1266666666666667
0.928,4.814250469207764,232,0.9271175535934335,1.0,0.88,0.12
0.932,5.006770133972168,233,0.9273875421430916,1.0,0.8866666666666667,0.11333333333333329
0.936,5.071624279022217,234,0.9276676041480686,1.0,0.8933333333333333,0.10666666666666669
0.94,5.287558555603027,235,0.9279713705812279,1.0,0.9,0.09999999999999998
0.944,5.988091468811035,236,0.928220991782528,1.0,0.9066666666666666,0.09333333333333338
0.948,6.352634906768799,237,0.9285172999998382,1.0,0.9133333333333333,0.08666666666666667
0.952,6.930301189422607,238,0.9287616051849875,1.0,0.92,0.07999999999999996
0.956,7.609287261962891,239,0.9290615569807555,1.0,0.9266666666666666,0.07333333333333336
0.96,8.430023193359375,240,0.929313629440448,1.0,0.9333333333333333,0.06666666666666665
0.964,8.727599143981934,241,0.9296001657530969,1.0,0.94,0.06000000000000005
0.968,8.81404972076416,242,0.929870844408129,1.0,0.9466666666666667,0.053333333333333344
0.972,8.873684883117676,243,0.930153764522512,1.0,0.9533333333333334,0.046666666666666634
0.976,8.994945526123047,244,0.9304227805775932,1.0,0.96,0.040000000000000036
0.98,9.153755187988281,245,0.9306994788215446,1.0,0.9666666666666667,0.033333333333333326
0.984,9.914177894592285,246,0.9309657987038557,1.0,0.9733333333333334,0.026666666666666616
0.988,11.500389099121094,247,0.9312433727725135,1.0,0.98,0.020000000000000018
0.992,11.929974555969238,248,0.9314869402725118,1.0,0.9866666666666667,0.013333333333333308
0.996,15.2525634765625,249,0.9317534810486096,1.0,0.9933333333333333,0.00666666666666671
1.0,18.53563117980957,250,0.9320066753287858,1.0,1.0,0.0
